DBS0236213	d1095
DBS0236281	d5453
DBS0236574	d5018
DBS0236666	d1143
DBS0237041	d7279
DBS0237061	d1985
DBS0235597	d8334
DBS0238124	d6424
DBS0238241	d8834
DBS0238244	d8834
DBS0238125	d7058
DBS0238408	d8923
DBS0238410	d8923
DBS0238457	d6690
DBS0238551	d2580
DBS0238555	d5284
DBS0238555	d5318
DBS0238556	d2578
DBS0238556	d2566
DBS0238579	d2580
DBS0238582	d2580
DBS0238585	d2187
DBS0238585	d1983
DBS0238585	d3234
DBS0238585	d1164
DBS0238586	d4829
DBS0238117	d8017
DBS0238242	d8834
DBS0238265	d5431
DBS0238266	d5431
DBS0238267	d5431
DBS0238272	d5898
DBS0238400	d8771
DBS0238588	d8852
DBS0238532	d2578
DBS0238532	d0319
DBS0238532	d2020
DBS0238532	d2580
DBS0238533	d2578
DBS0238533	d2566
